d,product_id,region_id,units,price,unit_cost,unit_profit,promo_flag,discount_pct,dow,weekofyear,month,year,holiday_flag,lag_1,lag_7,lag_14,lag_28,roll_mean_7,roll_std_7,roll_mean_28,roll_std_28,pred,residual,abs_residual,resid_roll_mean,resid_roll_std,anomaly_score,is_anomaly
2025-10-02,P001,R01,15,45.8,24.39,21.41,0,0.0,3,40,10,2025,0,27.0,27.0,18.0,19.0,22.857142857142858,8.552359741197577,21.642857142857142,5.851332774513457,20.72082,-5.720819473266602,5.720819473266602,-0.060925040926252096,0.3011256528728922,-18.79578965904124,1
2025-10-06,P001,R01,17,45.8,24.39,21.41,0,0.0,0,41,10,2025,0,20.0,10.0,25.0,22.0,22.142857142857142,7.559289460184543,21.928571428571427,6.253464648162668,26.06524,-9.065240859985352,9.065240859985352,-0.25277481760297504,1.5533406680600281,-5.673234612075336,1
2024-10-20,P001,R01,77,45.85,24.39,21.46,0,0.0,6,42,10,2024,0,31.0,24.0,24.0,23.0,23.428571428571427,5.380741673076391,25.678571428571427,8.35797942721924,75.06167,1.9383316040039062,1.9383316040039062,-0.03476311479296003,0.3941809628204816,5.005555582082882,1
2026-01-22,P001,R01,58,47.08,24.39,22.69,0,0.0,3,4,1,2026,0,20.0,12.0,25.0,32.0,22.714285714285715,9.945087325145098,24.928571428571427,7.906530687553654,25.665442,32.33455848693848,32.33455848693848,-5.330939292907715,8.999094647481762,4.185476345710645,1
2025-10-08,P001,R01,27,45.8,24.39,21.41,0,0.0,2,41,10,2025,0,27.0,27.0,21.0,10.0,23.571428571428573,6.160550377391686,21.642857142857142,6.201638288413602,17.36925,9.63075065612793,9.63075065612793,-0.3826544966016497,2.562662528402341,3.9074224724284345,1
2025-04-02,P001,R01,39,47.66,24.39,23.27,0,0.0,2,14,4,2025,0,18.0,21.0,24.0,18.0,23.285714285714285,7.432233529572064,23.178571428571427,5.544791158800217,37.712635,1.2873649597167969,1.2873649597167969,-0.057368346623012,0.3840559319905124,3.50139965127014,1
2025-01-04,P001,R01,22,46.79,24.39,22.4,0,0.0,5,1,1,2025,0,29.0,30.0,38.0,28.0,30.857142857142858,6.2029179001652395,28.464285714285715,7.9836970126262905,23.116945,-1.1169452667236328,1.1169452667236328,0.03639640126909528,0.3295480932886854,-3.4997673829124434,1
2025-10-03,P001,R01,31,45.8,24.39,21.41,0,0.0,4,40,10,2025,0,15.0,15.0,21.0,18.0,21.142857142857142,8.7831006565368,21.5,5.965952781626143,27.405441,3.5945587158203125,3.5945587158203125,-0.27317493302481516,1.107903045197342,3.4910398212293017,1
2025-10-14,P001,R01,33,45.82,24.39,21.43,0,0.0,1,42,10,2025,0,15.0,27.0,24.0,17.0,22.428571428571427,6.214422549122934,22.071428571428573,5.912501328344213,19.169365,13.830635070800781,13.830635070800781,-0.08948901721409389,3.9944209820198653,3.4848915902138744,1
2025-06-04,P001,R01,37,47.16,24.39,22.77,0,0.0,2,23,6,2025,0,16.0,21.0,28.0,22.0,22.0,5.773502691896248,22.892857142857142,6.014422700748636,35.69923,1.3007698059082031,1.3007698059082031,-0.07194764273507255,0.40467227398994127,3.3921707437693063,1
2025-08-14,P001,R01,34,46.09,24.39,21.7,0,0.0,3,33,8,2025,0,27.0,18.0,26.0,24.0,24.0,6.055300708194976,24.25,6.725435412037018,32.61496,1.385040283203125,1.385040283203125,-0.050844975880214145,0.44719882290202184,3.2108431094818233,1
2025-10-05,P001,R01,20,45.8,24.39,21.41,0,0.0,6,40,10,2025,0,28.0,36.0,25.0,26.0,24.428571428571427,9.071147352221445,22.142857142857142,6.287637993268351,24.234795,-4.234794616699219,4.234794616699219,-0.102048431124006,1.3431804861218752,-3.076836082921043,1
