d,pred_units,product_id,region_id
2026-02-01,26.787826538085938,P001,R01
2026-02-02,23.328643798828125,P001,R01
2026-02-03,24.088268280029297,P001,R01
2026-02-04,24.1365966796875,P001,R01
2026-02-05,25.586748123168945,P001,R01
2026-02-06,25.5897216796875,P001,R01
2026-02-07,27.5522518157959,P001,R01
2026-02-08,27.016403198242188,P001,R01
2026-02-09,25.067615509033203,P001,R01
2026-02-10,25.613786697387695,P001,R01
2026-02-11,25.898704528808594,P001,R01
2026-02-12,27.096755981445312,P001,R01
2026-02-13,27.764074325561523,P001,R01
2026-02-14,29.12250328063965,P001,R01
2026-02-15,28.372848510742188,P001,R01
2026-02-16,25.093685150146484,P001,R01
2026-02-17,25.63985824584961,P001,R01
2026-02-18,25.92323875427246,P001,R01
2026-02-19,27.08513641357422,P001,R01
2026-02-20,27.633098602294922,P001,R01
2026-02-21,29.028547286987305,P001,R01
2026-02-22,28.572769165039062,P001,R01
2026-02-23,25.14086151123047,P001,R01
2026-02-24,25.590370178222656,P001,R01
2026-02-25,25.864473342895508,P001,R01
2026-02-26,27.067411422729492,P001,R01
2026-02-27,27.716564178466797,P001,R01
2026-02-28,29.028547286987305,P001,R01
2026-02-01,32.45481872558594,P001,R02
2026-02-02,28.049114227294922,P001,R02
2026-02-03,29.241741180419922,P001,R02
2026-02-04,29.29214859008789,P001,R02
2026-02-05,29.96161460876465,P001,R02
2026-02-06,32.29559326171875,P001,R02
2026-02-07,33.004573822021484,P001,R02
2026-02-08,32.546241760253906,P001,R02
2026-02-09,28.13092803955078,P001,R02
2026-02-10,29.402420043945312,P001,R02
2026-02-11,29.46468162536621,P001,R02
2026-02-12,30.09760284423828,P001,R02
2026-02-13,32.27859878540039,P001,R02
2026-02-14,32.460716247558594,P001,R02
2026-02-15,31.887298583984375,P001,R02
2026-02-16,27.766538619995117,P001,R02
2026-02-17,28.996553421020508,P001,R02
2026-02-18,29.095415115356445,P001,R02
2026-02-19,29.650146484375,P001,R02
2026-02-20,31.61441421508789,P001,R02
2026-02-21,32.425567626953125,P001,R02
2026-02-22,31.91095733642578,P001,R02
2026-02-23,27.766538619995117,P001,R02
2026-02-24,28.767986297607422,P001,R02
2026-02-25,28.680580139160156,P001,R02
2026-02-26,29.469261169433594,P001,R02
2026-02-27,31.228532791137695,P001,R02
2026-02-28,31.980865478515625,P001,R02
2026-02-01,32.27665710449219,P001,R03
2026-02-02,27.41469383239746,P001,R03
2026-02-03,28.513648986816406,P001,R03
2026-02-04,28.89398956298828,P001,R03
2026-02-05,29.115079879760742,P001,R03
2026-02-06,30.990461349487305,P001,R03
2026-02-07,31.00446891784668,P001,R03
2026-02-08,30.392213821411133,P001,R03
2026-02-09,26.27826499938965,P001,R03
2026-02-10,27.198699951171875,P001,R03
2026-02-11,28.686288833618164,P001,R03
2026-02-12,29.313119888305664,P001,R03
2026-02-13,29.858537673950195,P001,R03
2026-02-14,30.828935623168945,P001,R03
2026-02-15,30.565242767333984,P001,R03
2026-02-16,25.799537658691406,P001,R03
2026-02-17,26.485973358154297,P001,R03
2026-02-18,26.8188419342041,P001,R03
2026-02-19,28.0465145111084,P001,R03
2026-02-20,29.473648071289062,P001,R03
2026-02-21,30.438199996948242,P001,R03
2026-02-22,29.923614501953125,P001,R03
2026-02-23,25.68975830078125,P001,R03
2026-02-24,26.248790740966797,P001,R03
2026-02-25,26.75020408630371,P001,R03
2026-02-26,28.0465145111084,P001,R03
2026-02-27,29.82923698425293,P001,R03
2026-02-28,30.73497772216797,P001,R03
2026-02-01,27.202722549438477,P001,R04
2026-02-02,23.80582046508789,P001,R04
2026-02-03,24.406564712524414,P001,R04
2026-02-04,24.553775787353516,P001,R04
2026-02-05,25.146728515625,P001,R04
2026-02-06,25.877445220947266,P001,R04
2026-02-07,27.740711212158203,P001,R04
2026-02-08,27.10468864440918,P001,R04
2026-02-09,24.134979248046875,P001,R04
2026-02-10,24.160110473632812,P001,R04
2026-02-11,24.430212020874023,P001,R04
2026-02-12,25.237260818481445,P001,R04
2026-02-13,26.005895614624023,P001,R04
2026-02-14,27.76338768005371,P001,R04
2026-02-15,27.163454055786133,P001,R04
2026-02-16,23.713708877563477,P001,R04
2026-02-17,24.16321563720703,P001,R04
2026-02-18,24.433317184448242,P001,R04
2026-02-19,25.158157348632812,P001,R04
2026-02-20,25.859020233154297,P001,R04
2026-02-21,27.797056198120117,P001,R04
2026-02-22,27.128305435180664,P001,R04
2026-02-23,23.713708877563477,P001,R04
2026-02-24,24.104450225830078,P001,R04
2026-02-25,24.37455177307129,P001,R04
2026-02-26,27.002717971801758,P001,R04
2026-02-27,27.593063354492188,P001,R04
2026-02-28,28.852285385131836,P001,R04
2026-02-01,29.967613220214844,P001,R05
2026-02-02,25.632169723510742,P001,R05
2026-02-03,26.840534210205078,P001,R05
2026-02-04,27.029369354248047,P001,R05
2026-02-05,27.899091720581055,P001,R05
2026-02-06,29.475910186767578,P001,R05
2026-02-07,30.35029411315918,P001,R05
2026-02-08,29.960948944091797,P001,R05
2026-02-09,26.127225875854492,P001,R05
2026-02-10,27.04766082763672,P001,R05
2026-02-11,27.821645736694336,P001,R05
2026-02-12,28.374103546142578,P001,R05
2026-02-13,29.561758041381836,P001,R05
2026-02-14,30.65906524658203,P001,R05
2026-02-15,29.960948944091797,P001,R05
2026-02-16,25.799537658691406,P001,R05
2026-02-17,26.37619400024414,P001,R05
2026-02-18,26.556974411010742,P001,R05
2026-02-19,27.725879669189453,P001,R05
2026-02-20,29.414840698242188,P001,R05
2026-02-21,30.203128814697266,P001,R05
2026-02-22,30.281387329101562,P001,R05
2026-02-23,26.135780334472656,P001,R05
2026-02-24,26.93000602722168,P001,R05
2026-02-25,28.529541015625,P001,R05
2026-02-26,28.381832122802734,P001,R05
2026-02-27,29.82923698425293,P001,R05
2026-02-28,30.872066497802734,P001,R05
2026-02-01,79.47636413574219,P002,R01
2026-02-02,75.83728790283203,P002,R01
2026-02-03,75.36640167236328,P002,R01
2026-02-04,76.99031066894531,P002,R01
2026-02-05,78.73631286621094,P002,R01
2026-02-06,90.52291107177734,P002,R01
2026-02-07,85.9581298828125,P002,R01
2026-02-08,85.48352813720703,P002,R01
2026-02-09,73.86237335205078,P002,R01
2026-02-10,75.860107421875,P002,R01
2026-02-11,78.01240539550781,P002,R01
2026-02-12,79.233154296875,P002,R01
2026-02-13,81.33634185791016,P002,R01
2026-02-14,83.3018569946289,P002,R01
2026-02-15,88.95022583007812,P002,R01
2026-02-16,78.52565002441406,P002,R01
2026-02-17,84.48780059814453,P002,R01
2026-02-18,95.08950805664062,P002,R01
2026-02-19,83.14771270751953,P002,R01
2026-02-20,84.27384948730469,P002,R01
2026-02-21,84.38155364990234,P002,R01
2026-02-22,85.55664825439453,P002,R01
2026-02-23,74.4161376953125,P002,R01
2026-02-24,79.39066314697266,P002,R01
2026-02-25,81.32759857177734,P002,R01
2026-02-26,105.00259399414062,P002,R01
2026-02-27,88.52790069580078,P002,R01
2026-02-28,86.6376953125,P002,R01
2026-02-01,110.18480682373047,P002,R02
2026-02-02,91.81550598144531,P002,R02
2026-02-03,100.87821197509766,P002,R02
2026-02-04,100.01205444335938,P002,R02
2026-02-05,98.4369888305664,P002,R02
2026-02-06,102.318603515625,P002,R02
2026-02-07,109.30194854736328,P002,R02
2026-02-08,111.31761169433594,P002,R02
2026-02-09,92.83291625976562,P002,R02
2026-02-10,101.05194091796875,P002,R02
2026-02-11,105.12665557861328,P002,R02
2026-02-12,104.07131958007812,P002,R02
2026-02-13,111.03616333007812,P002,R02
2026-02-14,113.83331298828125,P002,R02
2026-02-15,115.57878112792969,P002,R02
2026-02-16,92.1836166381836,P002,R02
2026-02-17,104.3028793334961,P002,R02
2026-02-18,101.33317565917969,P002,R02
2026-02-19,101.06413269042969,P002,R02
2026-02-20,104.50856018066406,P002,R02
2026-02-21,105.03778076171875,P002,R02
2026-02-22,104.38658905029297,P002,R02
2026-02-23,97.13069915771484,P002,R02
2026-02-24,109.90210723876953,P002,R02
